name,rating,position,overall_pace,overall_shoot,overall_passing,overall_dribbling,overall_defending,overall_physical,acceleration,sprint_speed,finishing,shot_power,long_shots,volleys,penalties,vision,crossing,free_kicks,short_passing,long_passing,curve,agility,balance,reactions,ball_controll,dribbling,composure,interceptions,heading,standing_tackle,sliding_tackle,jumping,stamina,strength,agression
Bruno Guimarães,84.0,CM,73.0,71.0,82.0,84.0,80.0,81.0,72.0,73.0,72.0,68.0,71.0,70.0,69.0,85.0,71.0,64.0,87.0,86.0,78.0,78.0,82.0,84.0,86.0,85.0,87.0,99.0,92.0,99.0,99.0,65.0,88.0,79.0,81.0
Joe Gomez,84.0,CB,83.0,33.0,71.0,72.0,84.0,82.0,77.0,88.0,29.0,45.0,29.0,26.0,29.0,64.0,73.0,31.0,83.0,69.0,49.0,66.0,68.0,83.0,76.0,70.0,77.0,99.0,99.0,99.0,99.0,80.0,67.0,87.0,85.0
Martin Terrier,84.0,LM,88.0,84.0,79.0,81.0,39.0,74.0,87.0,89.0,87.0,82.0,83.0,80.0,76.0,81.0,77.0,61.0,82.0,76.0,81.0,76.0,73.0,81.0,83.0,82.0,80.0,40.0,99.0,46.0,51.0,76.0,77.0,79.0,58.0
Marcus Thuram,84.0,ST,86.0,84.0,78.0,84.0,54.0,82.0,81.0,90.0,85.0,88.0,79.0,76.0,76.0,81.0,81.0,53.0,81.0,68.0,73.0,79.0,61.0,84.0,84.0,88.0,78.0,69.0,99.0,76.0,57.0,77.0,85.0,92.0,54.0
Alexandre Lacazette,84.0,ST,74.0,84.0,80.0,86.0,47.0,78.0,76.0,72.0,83.0,90.0,81.0,82.0,85.0,80.0,72.0,78.0,86.0,76.0,78.0,84.0,85.0,85.0,86.0,86.0,83.0,60.0,99.0,64.0,46.0,80.0,72.0,80.0,78.0
Timothy Castagne,84.0,RB,83.0,64.0,78.0,81.0,82.0,80.0,82.0,83.0,65.0,68.0,57.0,44.0,52.0,76.0,87.0,36.0,82.0,77.0,64.0,73.0,71.0,84.0,84.0,83.0,73.0,99.0,99.0,99.0,99.0,79.0,92.0,72.0,82.0
Vincenzo Grifo,84.0,CAM,78.0,79.0,83.0,84.0,44.0,67.0,77.0,79.0,75.0,85.0,78.0,77.0,88.0,80.0,91.0,89.0,82.0,78.0,88.0,84.0,82.0,81.0,86.0,85.0,73.0,76.0,80.0,52.0,51.0,55.0,76.0,69.0,55.0
Steven Berghuis,84.0,CM,83.0,84.0,85.0,84.0,42.0,72.0,86.0,81.0,84.0,84.0,86.0,79.0,85.0,85.0,87.0,78.0,85.0,84.0,88.0,86.0,77.0,82.0,87.0,82.0,83.0,60.0,78.0,60.0,48.0,57.0,83.0,66.0,75.0
Chris Smalling,84.0,CB,66.0,50.0,62.0,64.0,86.0,83.0,55.0,76.0,57.0,45.0,37.0,52.0,55.0,60.0,56.0,24.0,69.0,68.0,52.0,58.0,46.0,84.0,65.0,63.0,85.0,99.0,99.0,99.0,99.0,83.0,72.0,88.0,84.0
Rodrigo,84.0,CAM,84.0,84.0,83.0,85.0,52.0,77.0,84.0,84.0,82.0,92.0,83.0,82.0,84.0,85.0,84.0,73.0,86.0,71.0,91.0,84.0,81.0,85.0,86.0,86.0,85.0,55.0,99.0,72.0,64.0,84.0,84.0,75.0,71.0
Chancel Mbemba,84.0,CB,78.0,52.0,61.0,69.0,84.0,85.0,76.0,80.0,47.0,79.0,44.0,38.0,43.0,47.0,60.0,30.0,74.0,72.0,33.0,71.0,68.0,84.0,69.0,67.0,74.0,99.0,99.0,99.0,99.0,94.0,84.0,84.0,85.0
Timo Werner,84.0,LM,92.0,82.0,72.0,84.0,37.0,72.0,95.0,90.0,80.0,87.0,79.0,84.0,80.0,71.0,72.0,61.0,81.0,57.0,73.0,81.0,78.0,87.0,85.0,84.0,81.0,60.0,99.0,32.0,31.0,78.0,85.0,67.0,66.0
James Maddison,84.0,RM,76.0,81.0,86.0,87.0,56.0,65.0,80.0,72.0,79.0,86.0,83.0,76.0,77.0,87.0,83.0,86.0,86.0,85.0,88.0,86.0,85.0,80.0,88.0,87.0,86.0,68.0,54.0,99.0,65.0,53.0,80.0,56.0,71.0
Marcus Rashford,84.0,ST,88.0,84.0,79.0,83.0,46.0,77.0,84.0,91.0,83.0,94.0,80.0,75.0,87.0,80.0,79.0,80.0,80.0,74.0,86.0,84.0,76.0,82.0,83.0,85.0,77.0,62.0,99.0,60.0,52.0,80.0,78.0,77.0,75.0
Jack Harrison,84.0,LM,87.0,80.0,78.0,86.0,56.0,76.0,90.0,85.0,80.0,87.0,76.0,69.0,71.0,82.0,83.0,62.0,81.0,66.0,77.0,89.0,89.0,83.0,86.0,87.0,80.0,79.0,81.0,78.0,79.0,69.0,94.0,70.0,72.0
Jamal Musiala,84.0,CAM,78.0,77.0,79.0,90.0,66.0,64.0,82.0,75.0,81.0,76.0,78.0,67.0,55.0,82.0,70.0,51.0,87.0,79.0,67.0,94.0,95.0,85.0,89.0,91.0,85.0,98.0,74.0,94.0,99.0,59.0,82.0,57.0,63.0
Aurélien Tchouaméni,84.0,CM,73.0,72.0,82.0,81.0,83.0,84.0,71.0,74.0,69.0,80.0,77.0,51.0,57.0,85.0,71.0,55.0,88.0,87.0,79.0,76.0,73.0,86.0,83.0,81.0,86.0,99.0,99.0,99.0,99.0,76.0,86.0,84.0,84.0
Nico Schlotterbeck,84.0,CB,79.0,58.0,69.0,75.0,86.0,81.0,80.0,79.0,51.0,78.0,62.0,53.0,39.0,70.0,50.0,37.0,80.0,83.0,51.0,71.0,69.0,84.0,74.0,75.0,79.0,99.0,99.0,99.0,99.0,80.0,76.0,84.0,82.0
Antony,84.0,RW,95.0,77.0,78.0,88.0,41.0,72.0,97.0,93.0,79.0,76.0,79.0,70.0,69.0,82.0,82.0,77.0,78.0,64.0,83.0,94.0,87.0,77.0,90.0,87.0,82.0,62.0,71.0,58.0,33.0,59.0,82.0,65.0,79.0
Richarlison,84.0,ST,85.0,83.0,76.0,85.0,56.0,83.0,88.0,82.0,85.0,87.0,76.0,78.0,81.0,78.0,77.0,69.0,81.0,64.0,78.0,82.0,74.0,83.0,85.0,87.0,84.0,64.0,99.0,81.0,67.0,90.0,85.0,80.0,88.0
Olivier Giroud,84.0,ST,45.0,85.0,75.0,76.0,44.0,81.0,44.0,46.0,88.0,88.0,71.0,88.0,92.0,81.0,67.0,68.0,81.0,62.0,74.0,56.0,55.0,87.0,88.0,72.0,88.0,60.0,99.0,53.0,28.0,85.0,57.0,93.0,79.0
Christian Eriksen,84.0,CM,64.0,81.0,90.0,82.0,55.0,54.0,66.0,63.0,76.0,87.0,88.0,83.0,70.0,88.0,88.0,89.0,91.0,92.0,91.0,70.0,80.0,81.0,91.0,79.0,89.0,86.0,79.0,87.0,34.0,51.0,61.0,54.0,48.0
Seko Fofana,84.0,CDM,76.0,78.0,79.0,83.0,77.0,88.0,76.0,76.0,75.0,87.0,83.0,72.0,59.0,83.0,65.0,65.0,86.0,81.0,76.0,72.0,70.0,85.0,85.0,84.0,85.0,99.0,84.0,99.0,99.0,64.0,94.0,90.0,82.0
Hirving Lozano,84.0,LW,94.0,80.0,76.0,85.0,45.0,66.0,93.0,94.0,81.0,80.0,79.0,78.0,77.0,78.0,77.0,69.0,78.0,69.0,76.0,92.0,85.0,84.0,83.0,86.0,78.0,70.0,96.0,54.0,45.0,71.0,81.0,57.0,68.0
Manuel Akanji,84.0,CB,80.0,51.0,74.0,78.0,86.0,82.0,78.0,82.0,40.0,80.0,51.0,45.0,42.0,69.0,58.0,62.0,85.0,85.0,57.0,73.0,71.0,86.0,80.0,77.0,82.0,99.0,99.0,99.0,99.0,88.0,76.0,86.0,80.0
Willi Orban,84.0,CB,60.0,38.0,55.0,58.0,86.0,84.0,53.0,66.0,40.0,39.0,31.0,33.0,43.0,46.0,40.0,33.0,74.0,60.0,29.0,50.0,58.0,80.0,60.0,54.0,75.0,99.0,99.0,99.0,99.0,94.0,71.0,88.0,86.0
Téji Savanier,84.0,CAM,68.0,81.0,87.0,86.0,72.0,71.0,72.0,65.0,79.0,84.0,86.0,72.0,82.0,88.0,87.0,85.0,87.0,87.0,86.0,88.0,93.0,83.0,86.0,85.0,88.0,99.0,69.0,99.0,99.0,33.0,80.0,65.0,87.0
Palhinha,84.0,CDM,68.0,69.0,74.0,75.0,85.0,92.0,67.0,68.0,66.0,81.0,68.0,57.0,59.0,75.0,62.0,48.0,80.0,82.0,64.0,62.0,46.0,80.0,78.0,77.0,85.0,99.0,99.0,99.0,99.0,84.0,90.0,93.0,92.0
Jonas Hofmann,84.0,RM,78.0,80.0,83.0,83.0,67.0,76.0,80.0,77.0,83.0,78.0,78.0,67.0,75.0,84.0,83.0,74.0,84.0,84.0,80.0,82.0,81.0,86.0,83.0,82.0,84.0,99.0,75.0,89.0,89.0,64.0,91.0,70.0,74.0
Stefan Savić,84.0,CB,64.0,35.0,58.0,58.0,87.0,80.0,60.0,68.0,34.0,43.0,31.0,27.0,37.0,55.0,36.0,30.0,73.0,72.0,34.0,58.0,52.0,82.0,67.0,47.0,80.0,87.0,84.0,86.0,83.0,86.0,69.0,83.0,86.0
Lorenzo Insigne,84.0,LW,84.0,78.0,84.0,89.0,36.0,45.0,87.0,81.0,76.0,76.0,81.0,76.0,87.0,87.0,76.0,86.0,84.0,86.0,89.0,90.0,94.0,77.0,90.0,90.0,81.0,26.0,59.0,24.0,22.0,48.0,74.0,35.0,34.0
Joel Matip,84.0,CB,61.0,46.0,69.0,71.0,87.0,78.0,53.0,67.0,36.0,66.0,48.0,50.0,42.0,72.0,54.0,23.0,80.0,74.0,63.0,55.0,42.0,86.0,74.0,74.0,80.0,86.0,84.0,88.0,82.0,78.0,67.0,82.0,84.0
Leonardo Bonucci,84.0,CB,54.0,59.0,69.0,71.0,85.0,78.0,53.0,55.0,50.0,74.0,65.0,58.0,74.0,71.0,44.0,60.0,81.0,81.0,56.0,55.0,53.0,81.0,79.0,69.0,86.0,86.0,83.0,84.0,80.0,90.0,63.0,82.0,82.0
Thomas Partey,84.0,CDM,65.0,71.0,81.0,80.0,80.0,83.0,61.0,68.0,66.0,86.0,78.0,56.0,49.0,85.0,74.0,70.0,85.0,85.0,69.0,67.0,50.0,82.0,83.0,84.0,86.0,81.0,68.0,84.0,80.0,83.0,82.0,84.0,84.0
Lucas Hernández,84.0,CB,77.0,54.0,70.0,71.0,84.0,80.0,77.0,77.0,53.0,62.0,51.0,46.0,42.0,63.0,78.0,39.0,77.0,63.0,59.0,70.0,72.0,85.0,76.0,65.0,77.0,83.0,82.0,85.0,83.0,86.0,76.0,78.0,90.0
Canales,84.0,RM,83.0,79.0,85.0,82.0,68.0,71.0,84.0,82.0,78.0,78.0,84.0,67.0,80.0,90.0,81.0,84.0,84.0,86.0,85.0,83.0,81.0,84.0,83.0,82.0,80.0,77.0,50.0,74.0,62.0,39.0,80.0,71.0,68.0
Éder Militão,84.0,CB,86.0,50.0,70.0,72.0,85.0,82.0,83.0,88.0,48.0,62.0,42.0,34.0,60.0,59.0,69.0,40.0,79.0,76.0,60.0,70.0,62.0,85.0,74.0,70.0,74.0,86.0,82.0,86.0,84.0,85.0,86.0,79.0,84.0
Lorenzo Pellegrini,84.0,CAM,79.0,77.0,83.0,84.0,74.0,78.0,79.0,79.0,77.0,79.0,76.0,74.0,82.0,87.0,74.0,79.0,88.0,85.0,74.0,80.0,82.0,85.0,87.0,82.0,84.0,72.0,74.0,76.0,73.0,70.0,90.0,74.0,74.0
Sandro Tonali,84.0,CDM,81.0,73.0,81.0,79.0,79.0,82.0,78.0,83.0,69.0,79.0,81.0,68.0,64.0,78.0,78.0,81.0,84.0,81.0,75.0,81.0,83.0,82.0,83.0,75.0,84.0,81.0,70.0,81.0,75.0,65.0,85.0,81.0,84.0
Franck Yannick Kessié,84.0,CDM,78.0,76.0,74.0,79.0,82.0,87.0,77.0,79.0,73.0,84.0,78.0,60.0,88.0,76.0,66.0,54.0,83.0,75.0,61.0,70.0,77.0,81.0,84.0,78.0,84.0,84.0,68.0,84.0,78.0,72.0,93.0,86.0,84.0
Declan Rice,84.0,CDM,71.0,64.0,74.0,76.0,82.0,83.0,68.0,74.0,61.0,74.0,65.0,50.0,71.0,79.0,55.0,58.0,83.0,84.0,58.0,55.0,67.0,81.0,79.0,78.0,83.0,85.0,72.0,84.0,80.0,74.0,90.0,79.0,84.0
Giorgio Chiellini,84.0,CB,65.0,46.0,60.0,58.0,85.0,83.0,66.0,65.0,33.0,78.0,49.0,45.0,50.0,50.0,63.0,31.0,65.0,66.0,60.0,53.0,57.0,78.0,55.0,57.0,83.0,87.0,77.0,88.0,84.0,90.0,63.0,91.0,87.0
Moussa Diaby,84.0,RM,93.0,73.0,75.0,87.0,42.0,59.0,95.0,92.0,80.0,73.0,64.0,67.0,50.0,77.0,76.0,42.0,80.0,73.0,71.0,92.0,93.0,76.0,85.0,88.0,75.0,48.0,28.0,35.0,46.0,62.0,82.0,44.0,67.0
Carvajal,84.0,RB,82.0,54.0,77.0,80.0,78.0,79.0,80.0,84.0,51.0,68.0,47.0,49.0,45.0,72.0,82.0,47.0,82.0,74.0,76.0,78.0,82.0,79.0,83.0,78.0,80.0,78.0,70.0,81.0,82.0,77.0,85.0,74.0,85.0
Stefan de Vrij,84.0,CB,68.0,41.0,65.0,69.0,87.0,79.0,66.0,69.0,25.0,65.0,60.0,27.0,41.0,70.0,49.0,36.0,75.0,71.0,45.0,61.0,59.0,85.0,73.0,66.0,85.0,87.0,84.0,87.0,85.0,80.0,80.0,79.0,77.0
Wilfred Ndidi,84.0,CDM,66.0,62.0,68.0,73.0,85.0,83.0,64.0,68.0,50.0,80.0,69.0,68.0,57.0,62.0,53.0,60.0,78.0,75.0,60.0,63.0,66.0,87.0,77.0,72.0,80.0,88.0,70.0,88.0,84.0,89.0,89.0,78.0,88.0
Leroy Sané,84.0,LM,88.0,81.0,80.0,85.0,38.0,66.0,89.0,88.0,80.0,86.0,80.0,84.0,71.0,81.0,82.0,83.0,82.0,70.0,84.0,87.0,81.0,82.0,85.0,86.0,82.0,34.0,72.0,32.0,35.0,64.0,70.0,66.0,63.0
Dušan Tadić,84.0,LW,68.0,81.0,86.0,84.0,43.0,77.0,68.0,68.0,83.0,79.0,77.0,80.0,84.0,88.0,88.0,79.0,87.0,80.0,85.0,73.0,84.0,84.0,87.0,84.0,87.0,41.0,66.0,34.0,26.0,59.0,88.0,81.0,56.0
Luis Suárez,84.0,ST,70.0,86.0,78.0,78.0,46.0,81.0,73.0,68.0,87.0,86.0,84.0,88.0,82.0,80.0,75.0,81.0,78.0,73.0,85.0,70.0,77.0,86.0,81.0,76.0,86.0,55.0,99.0,64.0,53.0,69.0,71.0,84.0,87.0
Ivan Perišić,84.0,LM,78.0,81.0,79.0,82.0,74.0,78.0,79.0,78.0,80.0,84.0,78.0,81.0,76.0,76.0,85.0,75.0,79.0,79.0,78.0,76.0,75.0,85.0,82.0,83.0,88.0,72.0,80.0,70.0,68.0,87.0,84.0,80.0,65.0
Federico Valverde,84.0,CM,87.0,74.0,79.0,79.0,78.0,80.0,82.0,91.0,69.0,83.0,81.0,70.0,59.0,81.0,66.0,66.0,86.0,85.0,70.0,76.0,68.0,84.0,83.0,78.0,82.0,81.0,59.0,81.0,79.0,62.0,86.0,79.0,81.0
Achraf Hakimi,84.0,RB,92.0,75.0,79.0,80.0,75.0,78.0,91.0,93.0,75.0,80.0,73.0,74.0,60.0,77.0,84.0,74.0,81.0,73.0,77.0,82.0,78.0,81.0,82.0,79.0,72.0,78.0,68.0,76.0,76.0,79.0,92.0,72.0,75.0
Dušan Vlahović,84.0,ST,80.0,85.0,66.0,78.0,28.0,79.0,77.0,82.0,88.0,84.0,82.0,78.0,73.0,68.0,57.0,59.0,73.0,59.0,69.0,61.0,52.0,85.0,85.0,80.0,80.0,24.0,77.0,26.0,24.0,68.0,79.0,88.0,60.0
Martin Ødegaard,84.0,CAM,76.0,75.0,86.0,84.0,58.0,63.0,78.0,75.0,75.0,76.0,77.0,76.0,63.0,86.0,84.0,85.0,88.0,84.0,83.0,85.0,83.0,74.0,85.0,85.0,78.0,65.0,52.0,49.0,51.0,46.0,79.0,56.0,63.0
Alejandro Gómez,84.0,CAM,86.0,78.0,83.0,85.0,39.0,54.0,90.0,83.0,77.0,79.0,82.0,72.0,72.0,85.0,83.0,79.0,83.0,78.0,85.0,91.0,93.0,80.0,85.0,84.0,85.0,40.0,38.0,30.0,34.0,67.0,71.0,44.0,56.0
Kieran Trippier,84.0,RB,70.0,64.0,82.0,77.0,80.0,72.0,74.0,66.0,54.0,79.0,70.0,58.0,66.0,80.0,86.0,84.0,82.0,80.0,86.0,66.0,79.0,83.0,82.0,74.0,78.0,81.0,79.0,81.0,81.0,78.0,86.0,64.0,73.0
Fikayo Tomori,84.0,CB,86.0,40.0,60.0,66.0,86.0,81.0,80.0,90.0,33.0,56.0,45.0,32.0,27.0,48.0,56.0,40.0,73.0,65.0,38.0,74.0,71.0,84.0,66.0,61.0,81.0,85.0,83.0,89.0,82.0,83.0,73.0,84.0,83.0
Raphaël Varane,84.0,CB,81.0,49.0,64.0,66.0,85.0,80.0,77.0,84.0,46.0,52.0,53.0,42.0,43.0,59.0,42.0,52.0,78.0,77.0,46.0,62.0,39.0,82.0,75.0,61.0,82.0,84.0,85.0,86.0,83.0,80.0,67.0,87.0,78.0
Luis Díaz,84.0,LW,91.0,80.0,75.0,87.0,34.0,73.0,92.0,91.0,80.0,84.0,82.0,74.0,63.0,77.0,76.0,58.0,76.0,71.0,75.0,88.0,75.0,83.0,87.0,89.0,83.0,25.0,62.0,38.0,34.0,73.0,84.0,69.0,70.0
Ángel Di María,84.0,RW,79.0,79.0,84.0,87.0,48.0,67.0,80.0,78.0,76.0,83.0,84.0,78.0,73.0,87.0,85.0,88.0,82.0,80.0,92.0,91.0,75.0,83.0,87.0,88.0,86.0,42.0,51.0,55.0,52.0,70.0,74.0,61.0,73.0
Sergio Ramos,84.0,CB,61.0,69.0,73.0,70.0,83.0,77.0,66.0,56.0,65.0,79.0,64.0,69.0,90.0,71.0,63.0,75.0,78.0,80.0,72.0,66.0,65.0,85.0,78.0,63.0,86.0,84.0,88.0,82.0,83.0,91.0,56.0,81.0,90.0
Federico Chiesa,84.0,LW,91.0,81.0,76.0,86.0,48.0,73.0,91.0,91.0,80.0,86.0,84.0,80.0,62.0,77.0,75.0,62.0,78.0,72.0,78.0,88.0,81.0,86.0,82.0,89.0,81.0,30.0,50.0,44.0,44.0,53.0,85.0,70.0,69.0
Jack Grealish,84.0,LW,76.0,76.0,83.0,87.0,46.0,69.0,78.0,75.0,76.0,76.0,79.0,72.0,58.0,86.0,82.0,74.0,84.0,81.0,78.0,84.0,84.0,81.0,87.0,88.0,88.0,44.0,36.0,49.0,43.0,32.0,80.0,70.0,60.0
Mason Mount,84.0,CAM,74.0,81.0,85.0,82.0,55.0,67.0,76.0,72.0,81.0,81.0,83.0,75.0,69.0,83.0,83.0,84.0,87.0,84.0,82.0,77.0,76.0,84.0,85.0,82.0,84.0,59.0,59.0,57.0,41.0,54.0,86.0,58.0,68.0
Jadon Sancho,84.0,LW,81.0,74.0,81.0,89.0,36.0,59.0,84.0,78.0,77.0,71.0,65.0,83.0,74.0,85.0,80.0,65.0,86.0,70.0,84.0,90.0,89.0,81.0,88.0,91.0,85.0,39.0,38.0,39.0,32.0,51.0,66.0,62.0,44.0
Muniain,84.0,LM,81.0,77.0,82.0,87.0,51.0,61.0,84.0,78.0,79.0,73.0,78.0,75.0,64.0,84.0,81.0,79.0,85.0,74.0,84.0,91.0,94.0,81.0,87.0,87.0,84.0,45.0,43.0,55.0,38.0,72.0,77.0,49.0,66.0
Eden Hazard,84.0,LW,83.0,80.0,82.0,87.0,35.0,63.0,84.0,82.0,78.0,82.0,77.0,82.0,87.0,84.0,77.0,79.0,85.0,81.0,83.0,85.0,89.0,77.0,87.0,89.0,88.0,41.0,61.0,27.0,22.0,55.0,74.0,61.0,54.0
Reece James,84.0,RWB,81.0,70.0,82.0,82.0,80.0,82.0,79.0,83.0,66.0,83.0,69.0,62.0,52.0,80.0,88.0,76.0,82.0,78.0,82.0,75.0,88.0,81.0,81.0,83.0,82.0,78.0,71.0,83.0,79.0,75.0,83.0,85.0,74.0
Rodrigo Javier De Paul,84.0,CM,78.0,77.0,83.0,82.0,75.0,81.0,80.0,76.0,76.0,80.0,78.0,71.0,66.0,86.0,78.0,76.0,85.0,85.0,84.0,78.0,80.0,81.0,85.0,82.0,81.0,79.0,58.0,81.0,75.0,68.0,91.0,80.0,76.0
Oyarzabal,84.0,LW,80.0,83.0,81.0,84.0,41.0,62.0,81.0,80.0,85.0,80.0,82.0,74.0,84.0,84.0,83.0,78.0,82.0,73.0,77.0,81.0,80.0,80.0,86.0,85.0,82.0,29.0,60.0,32.0,30.0,72.0,79.0,57.0,52.0
Wissam Ben Yedder,84.0,ST,81.0,84.0,78.0,88.0,39.0,68.0,82.0,81.0,87.0,84.0,74.0,85.0,85.0,80.0,74.0,76.0,83.0,66.0,82.0,91.0,91.0,85.0,88.0,87.0,85.0,44.0,74.0,33.0,26.0,77.0,72.0,68.0,62.0
Edin Džeko,84.0,ST,63.0,84.0,71.0,77.0,45.0,75.0,61.0,65.0,87.0,86.0,77.0,79.0,67.0,74.0,63.0,54.0,76.0,76.0,65.0,62.0,55.0,83.0,84.0,77.0,87.0,50.0,85.0,28.0,16.0,64.0,69.0,86.0,58.0
Dries Mertens,84.0,CF,83.0,82.0,80.0,88.0,34.0,49.0,90.0,78.0,84.0,80.0,82.0,70.0,79.0,84.0,73.0,82.0,84.0,72.0,82.0,92.0,92.0,80.0,88.0,88.0,81.0,36.0,40.0,40.0,40.0,58.0,65.0,37.0,59.0
Kai Havertz,84.0,CAM,81.0,79.0,79.0,84.0,45.0,66.0,76.0,85.0,81.0,74.0,78.0,80.0,73.0,82.0,74.0,53.0,84.0,79.0,84.0,77.0,75.0,84.0,85.0,85.0,84.0,38.0,80.0,46.0,38.0,75.0,77.0,69.0,42.0
Domenico Berardi,84.0,RM,82.0,81.0,81.0,86.0,36.0,71.0,82.0,82.0,82.0,83.0,80.0,78.0,76.0,83.0,77.0,75.0,85.0,79.0,78.0,92.0,87.0,84.0,88.0,85.0,78.0,26.0,62.0,30.0,30.0,65.0,74.0,64.0,85.0
Rafael Leão,84.0,LW,91.0,77.0,73.0,86.0,27.0,74.0,90.0,92.0,80.0,80.0,72.0,74.0,63.0,74.0,75.0,60.0,76.0,63.0,80.0,82.0,80.0,83.0,86.0,89.0,81.0,24.0,63.0,24.0,21.0,62.0,77.0,80.0,60.0
Alessandro Bastoni,84.0,CB,73.0,35.0,69.0,71.0,86.0,82.0,68.0,77.0,26.0,49.0,37.0,35.0,47.0,57.0,70.0,36.0,78.0,78.0,53.0,58.0,57.0,86.0,76.0,70.0,82.0,85.0,82.0,87.0,82.0,75.0,81.0,82.0,84.0
Youri Tielemans,84.0,CM,56.0,80.0,86.0,81.0,70.0,73.0,58.0,54.0,74.0,87.0,87.0,79.0,77.0,87.0,82.0,78.0,89.0,88.0,84.0,67.0,77.0,84.0,85.0,81.0,85.0,71.0,67.0,73.0,68.0,68.0,85.0,69.0,69.0
Hakan Çalhanoğlu,84.0,CM,67.0,80.0,85.0,86.0,68.0,64.0,72.0,62.0,75.0,85.0,87.0,74.0,81.0,86.0,80.0,85.0,87.0,84.0,85.0,83.0,79.0,84.0,88.0,86.0,83.0,76.0,53.0,68.0,63.0,45.0,78.0,55.0,73.0
Mats Hummels,84.0,CB,53.0,59.0,76.0,72.0,87.0,78.0,45.0,60.0,57.0,71.0,49.0,64.0,68.0,80.0,65.0,53.0,81.0,85.0,66.0,60.0,62.0,86.0,78.0,69.0,89.0,87.0,86.0,86.0,85.0,70.0,66.0,87.0,71.0
Mateo Kovačić,84.0,CM,70.0,69.0,83.0,88.0,71.0,71.0,77.0,65.0,61.0,79.0,75.0,76.0,59.0,86.0,73.0,70.0,90.0,84.0,79.0,86.0,84.0,82.0,89.0,89.0,84.0,75.0,42.0,76.0,68.0,75.0,79.0,65.0,77.0
Alphonso Davies,84.0,LB,94.0,66.0,77.0,85.0,76.0,77.0,96.0,93.0,64.0,74.0,63.0,59.0,60.0,77.0,85.0,44.0,82.0,67.0,72.0,86.0,84.0,84.0,84.0,87.0,78.0,78.0,72.0,77.0,71.0,78.0,81.0,75.0,77.0
Marcos Llorente,84.0,CM,88.0,79.0,81.0,82.0,78.0,81.0,85.0,90.0,80.0,84.0,77.0,66.0,65.0,84.0,74.0,63.0,86.0,81.0,75.0,82.0,68.0,85.0,84.0,82.0,83.0,81.0,67.0,79.0,74.0,69.0,90.0,77.0,82.0
Jules Koundé,84.0,CB,84.0,45.0,64.0,74.0,85.0,78.0,85.0,83.0,47.0,48.0,40.0,32.0,43.0,62.0,45.0,26.0,81.0,75.0,42.0,71.0,74.0,85.0,74.0,72.0,82.0,86.0,80.0,85.0,83.0,88.0,76.0,80.0,75.0
Jude Bellingham,84.0,CM,75.0,75.0,78.0,84.0,77.0,80.0,78.0,73.0,77.0,78.0,74.0,71.0,56.0,84.0,66.0,49.0,84.0,82.0,68.0,81.0,79.0,84.0,84.0,85.0,79.0,80.0,67.0,78.0,76.0,76.0,89.0,74.0,85.0
João Félix,84.0,CF,83.0,80.0,81.0,88.0,40.0,67.0,84.0,83.0,79.0,80.0,81.0,83.0,68.0,86.0,77.0,67.0,83.0,76.0,83.0,88.0,84.0,83.0,88.0,89.0,86.0,40.0,69.0,42.0,35.0,76.0,75.0,62.0,68.0
Cody Gakpo,83.0,LW,87.0,82.0,77.0,84.0,41.0,74.0,86.0,87.0,82.0,86.0,83.0,75.0,68.0,79.0,83.0,76.0,76.0,68.0,78.0,81.0,71.0,81.0,84.0,86.0,78.0,39.0,60.0,38.0,28.0,75.0,79.0,77.0,60.0
Riccardo Orsolini,83.0,RM,87.0,80.0,82.0,88.0,46.0,73.0,87.0,87.0,74.0,88.0,84.0,81.0,79.0,82.0,85.0,78.0,84.0,74.0,89.0,90.0,83.0,80.0,90.0,89.0,80.0,47.0,64.0,31.0,28.0,67.0,76.0,82.0,50.0
Karim Onisiwo,83.0,CF,89.0,80.0,76.0,83.0,60.0,91.0,83.0,93.0,79.0,91.0,75.0,79.0,61.0,78.0,78.0,62.0,78.0,68.0,77.0,74.0,74.0,86.0,82.0,86.0,78.0,59.0,85.0,64.0,48.0,61.0,88.0,94.0,94.0
Przemysław Frankowski,83.0,RWB,95.0,79.0,80.0,83.0,73.0,80.0,96.0,95.0,80.0,81.0,79.0,85.0,61.0,77.0,86.0,59.0,83.0,79.0,79.0,83.0,84.0,83.0,83.0,84.0,81.0,73.0,63.0,76.0,73.0,82.0,90.0,77.0,73.0
Vangelis Pavlidis,83.0,ST,85.0,83.0,71.0,82.0,51.0,87.0,82.0,88.0,85.0,84.0,81.0,73.0,75.0,67.0,63.0,58.0,79.0,69.0,74.0,78.0,75.0,82.0,83.0,82.0,83.0,29.0,92.0,53.0,45.0,88.0,90.0,88.0,78.0
Mattias Svanberg,83.0,CM,84.0,76.0,83.0,85.0,70.0,77.0,81.0,86.0,72.0,82.0,86.0,59.0,64.0,85.0,75.0,70.0,87.0,85.0,73.0,85.0,74.0,81.0,87.0,86.0,81.0,79.0,36.0,77.0,69.0,70.0,86.0,76.0,73.0
Germán Pezzella,83.0,CB,58.0,55.0,56.0,62.0,85.0,79.0,59.0,57.0,55.0,62.0,57.0,46.0,40.0,25.0,46.0,37.0,80.0,64.0,53.0,35.0,48.0,76.0,72.0,60.0,80.0,84.0,86.0,86.0,83.0,91.0,57.0,86.0,88.0
